image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.04371989145874977,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
1,0.05122317373752594,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
2,0.04544312506914139,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
3,0.045283544808626175,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
4,0.050012119114398956,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
5,0.06585291773080826,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
6,0.06654100120067596,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
7,0.053270693868398666,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
8,0.04341483116149902,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
9,0.056020308285951614,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
10,0.04507068172097206,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
11,0.04516931623220444,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
12,0.04478278383612633,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
13,0.04712899401783943,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
14,0.05062367394566536,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
15,0.04801370948553085,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
16,0.07136291638016701,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
17,0.052407778799533844,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
18,0.047367505729198456,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
19,0.044217102229595184,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
20,0.055216386914253235,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
21,0.05993109196424484,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
22,0.06924301013350487,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
23,0.06796453148126602,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
24,0.06713773310184479,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
25,0.053666528314352036,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
26,0.04693983495235443,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
27,0.05906277894973755,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
28,0.05074857547879219,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
29,0.045191098004579544,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
30,0.05544393137097359,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
31,0.046826738864183426,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
32,0.05194797366857529,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
33,0.04678646847605705,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
34,0.04890238866209984,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
35,0.06248818337917328,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
36,0.053900450468063354,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
37,0.06169930845499039,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
38,0.06781958788633347,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
39,0.05931137502193451,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
40,0.06691841781139374,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
41,0.0639522522687912,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
42,0.07574467733502388,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
43,0.05037236586213112,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
44,0.04421897977590561,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
45,0.046094633638858795,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
46,0.05386250466108322,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
47,0.05536394193768501,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
48,0.05423439294099808,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
49,0.048025671392679214,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
50,0.04021565988659859,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
51,0.049632422626018524,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
52,0.054573144763708115,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
53,0.07467429712414742,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
54,0.06850629299879074,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
55,0.07677708566188812,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
56,0.05788341164588928,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
57,0.06664364412426949,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
58,0.055365435779094696,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
59,0.06556782498955727,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
60,0.054131243377923965,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
61,0.04809090122580528,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
62,0.07259338721632957,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
63,0.06821446493268013,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
64,0.04880900681018829,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
65,0.048137981444597244,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
66,0.04592329263687134,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
67,0.04460207745432854,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
68,0.057849664241075516,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
69,0.06524044275283813,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
70,0.05260104686021805,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
71,0.04392780363559723,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
72,0.04628048092126846,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
73,0.04392216354608536,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
74,0.051832813769578934,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
75,0.045886870473623276,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
76,0.06654293835163116,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
77,0.05713352933526039,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
78,0.04789986088871956,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
79,0.06520520150661469,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
80,0.061867110431194305,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
81,0.06656501814723015,85.3486328125,0.57421875,Saliency,efficientnet-b0,ImageNet,1
