image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.025876056402921677,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
1,0.03627471625804901,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
2,0.026936471462249756,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
3,0.027185946702957153,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
4,0.024630926549434662,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
5,0.028255049139261246,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
6,0.02933622896671295,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
7,0.026363730430603027,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
8,0.028315439820289612,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
9,0.03156095743179321,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
10,0.032846223562955856,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
11,0.026265759021043777,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
12,0.026414670050144196,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
13,0.026890113949775696,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
14,0.0261320099234581,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
15,0.02651623636484146,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
16,0.029476217925548553,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
17,0.026106711477041245,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
18,0.026765860617160797,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
19,0.030177384614944458,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
20,0.02805621549487114,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
21,0.03084712103009224,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
22,0.035596419125795364,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
23,0.0384485200047493,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
24,0.028706487268209457,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
25,0.027091961354017258,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
26,0.02870466560125351,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
27,0.030280523002147675,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
28,0.038492102175951004,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
29,0.02869492396712303,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
30,0.027042649686336517,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
31,0.026943910866975784,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
32,0.02755625545978546,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
33,0.027351245284080505,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
34,0.03003639355301857,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
35,0.026042792946100235,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
36,0.026316288858652115,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
37,0.027488049119710922,86.5478515625,0.57421875,Saliency,efficientnet-b0,ImageNet,1
