image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.049074504524469376,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
1,0.04137175530195236,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
2,0.052475910633802414,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
3,0.044086623936891556,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
4,0.054906900972127914,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
5,0.06139327585697174,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
6,0.04153899848461151,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
7,0.0605693943798542,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
8,0.054326605051755905,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
9,0.06849326938390732,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
10,0.05260888859629631,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
11,0.05816398561000824,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
12,0.049339864403009415,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
13,0.044418904930353165,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
14,0.0462983138859272,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
15,0.04616917297244072,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
16,0.056147199124097824,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
17,0.046088807284832,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
18,0.064691711217165,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
19,0.05647098645567894,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
20,0.050632599741220474,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
21,0.04262359067797661,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
22,0.0488395169377327,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
23,0.045847587287425995,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
24,0.05607554316520691,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
25,0.04504095017910004,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
26,0.05206756666302681,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
27,0.048714254051446915,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
28,0.0524994432926178,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
29,0.0705002211034298,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
30,0.06960155069828033,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
31,0.053017087280750275,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
32,0.045085180550813675,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
33,0.04539864882826805,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
34,0.044626399874687195,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
35,0.0455346517264843,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
36,0.0451476089656353,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
37,0.05171141400933266,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
38,0.050812769681215286,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
39,0.04113054275512695,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
40,0.0566098727285862,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
41,0.04721423611044884,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
42,0.045682359486818314,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
43,0.049577515572309494,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
44,0.044119175523519516,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
45,0.05441790446639061,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
46,0.061480820178985596,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
47,0.04793445020914078,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
48,0.059027817100286484,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
49,0.06439045816659927,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
50,0.0503409169614315,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
51,0.045659467577934265,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
52,0.045187901705503464,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
53,0.04467609152197838,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
54,0.05475463718175888,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
55,0.046864479780197144,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
56,0.0584230050444603,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
57,0.05244400352239609,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
58,0.04629921540617943,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
59,0.0656367875635624,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
60,0.05062447860836983,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
61,0.04896247759461403,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
62,0.06846267357468605,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
63,0.046233657747507095,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
64,0.05900350585579872,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
65,0.06707122921943665,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
66,0.06362691149115562,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
67,0.06846630945801735,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
68,0.07166879251599312,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
69,0.05058959126472473,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
70,0.060860343277454376,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
71,0.05416591838002205,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
72,0.05115663260221481,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
73,0.05970113351941109,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
74,0.050200384110212326,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
75,0.059536855667829514,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
76,0.046180326491594315,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
77,0.05169135704636574,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
78,0.054152555763721466,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
79,0.06117887794971466,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
80,0.06776298582553864,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
81,0.046716850250959396,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
82,0.04850853607058525,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
83,0.04579656571149826,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
84,0.04593353345990181,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
85,0.048613570630550385,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
86,0.051516517996788025,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
87,0.07127637416124344,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
88,0.0713118389248848,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
89,0.054524268954992294,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
90,0.0531192384660244,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
91,0.0478329062461853,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
92,0.05473259091377258,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
93,0.04575010761618614,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
94,0.06253092363476753,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
95,0.06747997552156448,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
96,0.04835279658436775,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
97,0.0569697842001915,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
98,0.04694783687591553,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
99,0.050510164350271225,85.3486328125,0.57421875,Saliency,efficientnet-b0,STL10,1
