image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.022120829671621323,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
1,0.027361243963241577,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
2,0.04081643000245094,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
3,0.03176242858171463,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
4,0.029473647475242615,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
5,0.034658465534448624,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
6,0.03245522826910019,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
7,0.03017619624733925,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
8,0.040725670754909515,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
9,0.028393305838108063,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
10,0.027635768055915833,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
11,0.027156982570886612,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
12,0.02860725298523903,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
13,0.030099298804998398,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
14,0.028147853910923004,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
15,0.02720170095562935,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
16,0.028387006372213364,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
17,0.02885839343070984,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
18,0.036246705800294876,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
19,0.029392682015895844,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
20,0.027914851903915405,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
21,0.02755618840456009,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
22,0.02737291529774666,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
23,0.027526583522558212,85.8369140625,0.57421875,Saliency,efficientnet-b0,STL10,1
