image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.01600236096419394,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
1,0.016679170075803995,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
2,0.01806408795528114,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
3,0.017025984125211835,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
4,0.016779680969193578,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
5,0.016551255015656352,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
6,0.016547576989978552,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
7,0.016968925017863512,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
8,0.016495150048285723,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
9,0.016520445933565497,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
10,0.016393271973356605,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
11,0.017738752998411655,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
12,0.018619860988110304,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
13,0.016700976993888617,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
14,0.016796426149085164,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
15,0.01659283204935491,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
16,0.016625110059976578,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
17,0.016517164884135127,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
18,0.016765129985287786,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
19,0.016344703966751695,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
20,0.017172469990327954,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
21,0.016555066918954253,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
22,0.01674283412285149,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
23,0.01641922420822084,212.6650390625,0.57421875,Saliency,efficientnet-b0,STL10,1
