image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.040938686579465866,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
1,0.03831242769956589,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
2,0.03893498703837395,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
3,0.03506045415997505,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
4,0.044041913002729416,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
5,0.039225880056619644,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
6,0.04611799865961075,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
7,0.03832332417368889,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
8,0.03805772215127945,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
9,0.037604570388793945,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
10,0.04229022189974785,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
11,0.04359254613518715,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
12,0.04910863935947418,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
13,0.04347760230302811,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
14,0.055306509137153625,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
15,0.040204182267189026,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
16,0.04339176416397095,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
17,0.03777970001101494,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
18,0.03690844774246216,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
19,0.038813117891550064,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
20,0.03698588162660599,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
21,0.03850719332695007,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
22,0.04203217104077339,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
23,0.03965500369668007,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
24,0.043276235461235046,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
25,0.039290718734264374,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
26,0.04280584678053856,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
27,0.03914939612150192,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
28,0.0416470468044281,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
29,0.03955874592065811,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
30,0.0372203104197979,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
31,0.03637347370386124,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
32,0.03486400470137596,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
33,0.040708135813474655,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
34,0.03470703214406967,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
35,0.04325699806213379,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
36,0.037704985588788986,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
37,0.03784816712141037,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
38,0.03836454078555107,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
39,0.03909264877438545,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
40,0.036446403712034225,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
41,0.04409992694854736,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
42,0.04343531280755997,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
43,0.052519503980875015,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
44,0.05076048895716667,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
45,0.04051697626709938,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
46,0.03930186480283737,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
47,0.037552203983068466,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
48,0.039340242743492126,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
49,0.03777864947915077,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
50,0.038513123989105225,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
51,0.036772873252630234,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
52,0.047239042818546295,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
53,0.04965069144964218,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
54,0.03968972712755203,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
55,0.034129224717617035,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
56,0.038511160761117935,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
57,0.03751456364989281,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
58,0.03723592683672905,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
59,0.04416347295045853,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
60,0.038986511528491974,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
61,0.03760547935962677,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
62,0.0404580757021904,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
63,0.03890129178762436,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
64,0.03809690102934837,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
65,0.040969595313072205,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
66,0.0381254218518734,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
67,0.04076026752591133,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
68,0.03483964502811432,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
69,0.04005499929189682,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
70,0.03796505182981491,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
71,0.03844600170850754,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
72,0.038642849773168564,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
73,0.03856682404875755,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
74,0.04001835361123085,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
75,0.03743162378668785,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
76,0.03617646172642708,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
77,0.038093335926532745,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
78,0.041304342448711395,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
79,0.03965609893202782,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
80,0.0442630909383297,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
81,0.03907229006290436,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
82,0.05027360841631889,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
83,0.03755643591284752,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
84,0.046200960874557495,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
85,0.03992088884115219,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
86,0.0443534329533577,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
87,0.03511820361018181,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
88,0.04591929540038109,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
89,0.03824437037110329,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
90,0.047727297991514206,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
91,0.03984896093606949,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
92,0.04550663009285927,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
93,0.03677002713084221,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
94,0.045290105044841766,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
95,0.037924278527498245,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
96,0.04339766502380371,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
97,0.03636133298277855,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
98,0.04145548492670059,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
99,0.03747814893722534,87.109375,0.57421875,Saliency,resnet50,CIFAR10,1
