image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.009686607867479324,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
1,0.010053326142951846,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
2,0.009902538964524865,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
3,0.009828686947003007,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
4,0.00986850494518876,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
5,0.009837869089096785,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
6,0.009917280171066523,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
7,0.009924703976139426,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
8,0.009768551215529442,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
9,0.00972345913760364,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
10,0.009900148026645184,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
11,0.0100485619623214,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
12,0.00958687299862504,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
13,0.00951209501363337,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
14,0.009711245074868202,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
15,0.00963976001366973,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
16,0.009500660933554173,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
17,0.009635119931772351,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
18,0.009548017987981439,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
19,0.00955624203197658,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
20,0.009631916182115674,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
21,0.009609279921278358,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
22,0.0100824860855937,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
23,0.010560300899669528,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
24,0.009772554971277714,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
25,0.009680812014266849,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
26,0.009754339000210166,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
27,0.009641906945034862,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
28,0.009629061911255121,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
29,0.009700627066195011,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
30,0.009571233997121453,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
31,0.009580600075423717,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
32,0.009519153041765094,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
33,0.009518316946923733,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
34,0.009604101069271564,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
35,0.009811025112867355,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
36,0.009711570106446743,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
37,0.009530038107186556,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
38,0.009449803968891501,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
39,0.009539396967738867,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
40,0.00953265093266964,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
41,0.009533114032819867,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
42,0.00943612796254456,212.41650390625,0.57421875,Saliency,resnet50,ImageNet,1
