image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.035095199942588806,86.55078125,0.57421875,Saliency,resnet50,STL10,1
1,0.03538891300559044,86.55078125,0.57421875,Saliency,resnet50,STL10,1
2,0.035577837377786636,86.55078125,0.57421875,Saliency,resnet50,STL10,1
3,0.040809739381074905,86.55078125,0.57421875,Saliency,resnet50,STL10,1
4,0.0356890931725502,86.55078125,0.57421875,Saliency,resnet50,STL10,1
5,0.042745936661958694,86.55078125,0.57421875,Saliency,resnet50,STL10,1
6,0.03871219605207443,86.55078125,0.57421875,Saliency,resnet50,STL10,1
7,0.04177349805831909,86.55078125,0.57421875,Saliency,resnet50,STL10,1
8,0.03672241419553757,86.55078125,0.57421875,Saliency,resnet50,STL10,1
9,0.03692029416561127,86.55078125,0.57421875,Saliency,resnet50,STL10,1
10,0.047411467880010605,86.55078125,0.57421875,Saliency,resnet50,STL10,1
11,0.05236251279711723,86.55078125,0.57421875,Saliency,resnet50,STL10,1
12,0.053134895861148834,86.55078125,0.57421875,Saliency,resnet50,STL10,1
13,0.04869416356086731,86.55078125,0.57421875,Saliency,resnet50,STL10,1
14,0.03940422832965851,86.55078125,0.57421875,Saliency,resnet50,STL10,1
15,0.03897774592041969,86.55078125,0.57421875,Saliency,resnet50,STL10,1
16,0.035551950335502625,86.55078125,0.57421875,Saliency,resnet50,STL10,1
17,0.0382666252553463,86.55078125,0.57421875,Saliency,resnet50,STL10,1
18,0.03671497479081154,86.55078125,0.57421875,Saliency,resnet50,STL10,1
19,0.04097989574074745,86.55078125,0.57421875,Saliency,resnet50,STL10,1
20,0.03838804364204407,86.55078125,0.57421875,Saliency,resnet50,STL10,1
21,0.04200861230492592,86.55078125,0.57421875,Saliency,resnet50,STL10,1
22,0.03759472817182541,86.55078125,0.57421875,Saliency,resnet50,STL10,1
23,0.04945536330342293,86.55078125,0.57421875,Saliency,resnet50,STL10,1
24,0.038633495569229126,86.55078125,0.57421875,Saliency,resnet50,STL10,1
25,0.045897476375103,86.55078125,0.57421875,Saliency,resnet50,STL10,1
26,0.035310059785842896,86.55078125,0.57421875,Saliency,resnet50,STL10,1
27,0.040812477469444275,86.55078125,0.57421875,Saliency,resnet50,STL10,1
28,0.03841247409582138,86.55078125,0.57421875,Saliency,resnet50,STL10,1
29,0.0387643538415432,86.55078125,0.57421875,Saliency,resnet50,STL10,1
30,0.03754442185163498,86.55078125,0.57421875,Saliency,resnet50,STL10,1
31,0.03576935455203056,86.55078125,0.57421875,Saliency,resnet50,STL10,1
32,0.03865579888224602,86.55078125,0.57421875,Saliency,resnet50,STL10,1
33,0.03915586695075035,86.55078125,0.57421875,Saliency,resnet50,STL10,1
