image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.021644912660121918,110.892578125,0.57421875,Saliency,resnet50,STL10,1
1,0.035270433872938156,110.892578125,0.57421875,Saliency,resnet50,STL10,1
2,0.02042294666171074,110.892578125,0.57421875,Saliency,resnet50,STL10,1
3,0.025908660143613815,110.892578125,0.57421875,Saliency,resnet50,STL10,1
4,0.034115806221961975,110.892578125,0.57421875,Saliency,resnet50,STL10,1
5,0.0337439700961113,110.892578125,0.57421875,Saliency,resnet50,STL10,1
6,0.03620230779051781,110.892578125,0.57421875,Saliency,resnet50,STL10,1
7,0.024074938148260117,110.892578125,0.57421875,Saliency,resnet50,STL10,1
8,0.023351989686489105,110.892578125,0.57421875,Saliency,resnet50,STL10,1
9,0.028276000171899796,110.892578125,0.57421875,Saliency,resnet50,STL10,1
10,0.040859028697013855,110.892578125,0.57421875,Saliency,resnet50,STL10,1
11,0.02470344305038452,110.892578125,0.57421875,Saliency,resnet50,STL10,1
12,0.021262172609567642,110.892578125,0.57421875,Saliency,resnet50,STL10,1
13,0.027588751167058945,110.892578125,0.57421875,Saliency,resnet50,STL10,1
14,0.0251755528151989,110.892578125,0.57421875,Saliency,resnet50,STL10,1
15,0.027678873389959335,110.892578125,0.57421875,Saliency,resnet50,STL10,1
16,0.01848912239074707,110.892578125,0.57421875,Saliency,resnet50,STL10,1
17,0.02362033724784851,110.892578125,0.57421875,Saliency,resnet50,STL10,1
18,0.025618460029363632,110.892578125,0.57421875,Saliency,resnet50,STL10,1
19,0.018707137554883957,110.892578125,0.57421875,Saliency,resnet50,STL10,1
20,0.0224284864962101,110.892578125,0.57421875,Saliency,resnet50,STL10,1
21,0.01855212077498436,110.892578125,0.57421875,Saliency,resnet50,STL10,1
22,0.021459277719259262,110.892578125,0.57421875,Saliency,resnet50,STL10,1
23,0.026887070387601852,110.892578125,0.57421875,Saliency,resnet50,STL10,1
24,0.02291690558195114,110.892578125,0.57421875,Saliency,resnet50,STL10,1
25,0.024719104170799255,110.892578125,0.57421875,Saliency,resnet50,STL10,1
26,0.024698231369256973,110.892578125,0.57421875,Saliency,resnet50,STL10,1
27,0.023436356335878372,110.892578125,0.57421875,Saliency,resnet50,STL10,1
28,0.02131468802690506,110.892578125,0.57421875,Saliency,resnet50,STL10,1
29,0.02986358478665352,110.892578125,0.57421875,Saliency,resnet50,STL10,1
