image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.012425329070538282,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
1,0.012824454111978412,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
2,0.012874292209744453,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
3,0.01282389392144978,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
4,0.013527064118534327,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
5,0.012320465873926878,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
6,0.013385172933340073,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
7,0.012498337076976895,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
8,0.012993759009987116,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
9,0.012491196859627962,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
10,0.01240740716457367,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
11,0.013875795993953943,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
12,0.012682439992204309,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
13,0.012812554137781262,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
14,0.012886848067864776,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
15,0.012359581887722015,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
16,0.012155392905697227,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
17,0.01211385102942586,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
18,0.012163558043539524,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
19,0.012339073931798339,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
20,0.012542064068838954,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
21,0.012667733011767268,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
22,0.012125433888286352,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
23,0.012041992042213678,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
24,0.01270938292145729,211.23681640625,0.57421875,Saliency,resnet50,STL10,1
