image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.0663156770169735,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
1,0.06771750748157501,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
2,0.06747835874557495,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
3,0.06760858371853828,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
4,0.06725182384252548,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
5,0.06762942299246788,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
6,0.06813030317425728,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
7,0.08700952306389809,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
8,0.06831955909729004,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
9,0.07080070301890373,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
10,0.06921394169330597,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
11,0.06978291645646095,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
12,0.07074354588985443,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
13,0.08448317274451256,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
14,0.09142281115055084,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
15,0.08266203477978706,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
16,0.07475714012980461,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
17,0.08431018888950348,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
18,0.0869084857404232,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
19,0.07269169390201569,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
20,0.07673318311572075,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
21,0.09982756525278091,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
22,0.07349154725670815,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
23,0.07402192056179047,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
24,0.09327049925923347,117.92724609375,0.57421875,Saliency,vit-b-16,CIFAR10,1
