image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.01470503001473844,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
1,0.016019352013245225,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
2,0.015805115923285484,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
3,0.015976476948708296,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
4,0.01578266196884215,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
5,0.015909801935777068,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
6,0.016116739017888904,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
7,0.0157976308837533,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
8,0.015743426978588104,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
9,0.0157178551889956,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
10,0.014363083988428116,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
11,0.014066518051549792,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
12,0.014102686196565628,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
13,0.01411563390865922,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
14,0.014519505901262164,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
15,0.014135590987280011,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
16,0.014135501813143492,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
17,0.014159332029521465,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
18,0.014108921866863966,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
19,0.014328609919175506,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
20,0.014945777831599116,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
21,0.01482487702742219,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
22,0.01515674008987844,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
23,0.014191892929375172,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
24,0.014184749918058515,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
25,0.014853473985567689,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
26,0.014397203922271729,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
27,0.01431844406761229,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
28,0.014945565955713391,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
29,0.014283851021900773,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
30,0.014312320156022906,117.48583984375,0.57421875,Saliency,vit-b-16,CIFAR10,1
