image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.0907808318734169,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
1,0.08293955400586128,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
2,0.08364520221948624,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
3,0.08647347241640091,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
4,0.08650332689285278,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
5,0.09200315549969673,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
6,0.08455786481499672,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
7,0.078572578728199,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
8,0.0771786980330944,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
9,0.07750254124403,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
10,0.07866260036826134,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
11,0.07692146301269531,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
12,0.0810011439025402,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
13,0.082492146641016,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
14,0.08545078709721565,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
15,0.08496003970503807,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
16,0.08683577552437782,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
17,0.07621289789676666,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
18,0.07920646667480469,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
19,0.08265553414821625,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
20,0.07552551478147507,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
21,0.08915496990084648,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
22,0.08003521338105202,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
23,0.08298717439174652,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
24,0.0835816077888012,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
25,0.08737820014357567,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
26,0.08609914407134056,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
27,0.08976606279611588,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
28,0.09421243518590927,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
29,0.07688792794942856,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
30,0.08625610545277596,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
31,0.08306694030761719,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
32,0.0880870632827282,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
33,0.08141106739640236,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
34,0.08154317736625671,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
35,0.08995005115866661,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
36,0.08552544936537743,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
37,0.09065787121653557,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
38,0.08456619456410408,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
39,0.08555398508906364,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
40,0.078473299741745,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
41,0.08631332218647003,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
42,0.08052030950784683,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
43,0.08414531871676445,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
44,0.08661128580570221,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
45,0.08302919194102287,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
46,0.08256865665316582,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
47,0.08560226857662201,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
48,0.08935988321900368,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
49,0.09205113723874092,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
50,0.07781388610601425,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
51,0.09039746969938278,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
52,0.07912766560912132,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
53,0.08680518716573715,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
54,0.08344815671443939,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
55,0.07726826518774033,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
56,0.0821181982755661,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
57,0.08373044431209564,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
58,0.08803121373057365,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
59,0.09052625671029091,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
60,0.09267284348607063,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
61,0.09301648288965225,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
62,0.07587381079792976,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
63,0.07689012587070465,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
64,0.0805988498032093,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
65,0.0799279734492302,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
66,0.07864708825945854,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
67,0.07968227937817574,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
68,0.08668738603591919,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
69,0.07606760784983635,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
70,0.0820935070514679,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
71,0.08413989469408989,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
72,0.07564918324351311,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
73,0.08326441794633865,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
74,0.08837801963090897,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
75,0.08860637247562408,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
76,0.07672666385769844,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
77,0.07788709551095963,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
78,0.08715331554412842,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
79,0.09024187177419662,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
80,0.0945824533700943,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
81,0.08532807603478432,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
82,0.09086347743868828,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
83,0.09674191102385521,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
84,0.0963825210928917,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
85,0.09418636560440063,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
86,0.07942558825016022,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
87,0.07635203376412392,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
88,0.07771835848689079,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
89,0.08417775854468346,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
90,0.07713771983981133,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
91,0.08278500288724899,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
92,0.07896273955702782,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
93,0.0941225104033947,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
94,0.07885820791125298,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
95,0.0891030766069889,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
96,0.08940573781728745,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
97,0.0756652019917965,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
98,0.08550332859158516,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
99,0.0803566463291645,155.44921875,0.57421875,Saliency,vit-b-16,STL10,1
